contract_address,name,base_asset_id,base_asset_name,base_asset_symbol,base_asset_contract_address,quote_asset_id,quote_asset_name,quote_asset_symbol,quote_asset_contract_address,dex_id,dex_slug,network_id,network_slug,last_updated,created_at,price,volume_24h,percent_change_price_1h,percent_change_price_24h,liquidity,fully_diluted_value
4r2AGQRjuLpGL9o1vuW1mkcVHvE4DTi7YZJhqGHj2qeR,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,10557,raydium-clmm,16,Solana,2024-12-22T02:51:15.960Z,2024-12-17T12:46:21.000Z,0.026641029434158636,656545.6202034684,-0.0135869888,-0.1222433885,1151614.5289069333,2368089569.817518
JXJdqJMZ8FvMHGxUZbncBR8RMuq7GC32ZB192N1gbb8,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:47:07.271Z,2024-12-17T12:46:41.000Z,0.026910757663282193,543992.2490147084,-0.0341788543,-0.1108372531,519292.24782854633,2392065392.8108244
FGS7Ek2GZ3H7gWmBGgrXDnQ4vhJ3A9tnd4xPUAU84fhE,PENGU/Bonk,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344303,Bonk,Bonk,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,9882,meteora-vd,16,Solana,2024-12-22T02:56:23.000Z,2024-12-17T20:33:30.000Z,0.02666342146007138,470986.29251235555,-0.0183517699,-0.1103876811,143005.4834954513,2370079970.4941177
2Qpb9mnNCwkk3VeaeBeac4AB2ZRbqBSiiWLvpif9ve6Z,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10557,raydium-clmm,16,Solana,2024-12-22T02:56:21.404Z,2024-12-19T17:29:17.000Z,0.02684051579142832,450529.34518399823,-0.0098340175,-0.1028530474,21898.744937580494,2385821675.9712515
6s5b7ELnzVggihhSbf1H1QZ7GR2Kz1G8jqd7q72dcDYP,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:51:38.684Z,2024-12-17T13:09:11.000Z,0.026701536845091415,250865.2155028624,-0.0119309925,-0.107785087,32431.851654930335,2373468001.949081
8CwBzycaiR5DmEc4nSPNngmWoTphJB8z4mVYkq3wfGwo,PENGU/USDT,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22344279,USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,10557,raydium-clmm,16,Solana,2024-12-22T02:54:18.953Z,2024-12-17T14:28:21.000Z,0.02687296194234432,203559.74217207203,-0.0142890125,-0.1020497597,34310.52571811102,2388705775.9177194
BR3EY6tFKwKci18hMaE4qAD4LWBhBTiRuHb6JqenxczT,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:52:33.660Z,2024-12-17T13:29:31.000Z,0.026791027306871534,178718.23905364436,-0.0099927452,-0.1088349203,67839.52792458533,2381422703.161487
EbakrfJBeZRewaR1Y6ZMFceAeanmS8TGKBr5CuojMKfm,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:51:42.976Z,2024-12-17T13:21:02.000Z,0.0266566030030764,175853.8368210792,-0.0357810218,-0.1314286355,26506.18495198051,2369473885.9232507
1CUdj2yF2umB9suDfn5oyQ7owZoh1XRauBo56rac9rz,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:55:38.819Z,2024-12-17T12:46:41.000Z,0.026799821254765526,157589.2187612036,-0.0179807852,-0.1069332471,5642.147872444789,2382204386.77986
CdAnPuEFs3ZEo1KdsE2cxHioZe1SShtDfpKKvgb4E5GA,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:50:27.691Z,2024-12-17T13:00:32.000Z,0.0266959754076678,104022.052664419,-0.0154487911,-0.1301496205,44913.13948298462,2372973652.359903
Aea6y1afUKXghGE91BJxmfgZ4ER7ZksmT6HwXP3YxWmQ,PENGU/USDC,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22412840,USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9882,meteora-vd,16,Solana,2024-12-22T02:51:37.853Z,2024-12-17T15:26:30.000Z,0.02665303961787948,95124.94405655442,-0.0145254855,-0.1075504865,21197.67983469337,2369157140.8312893
2LoFZkCWGd2p2zjNXXePk51jxtnxgcw5ZvRmGai4ZvBr,PENGU/JitoSOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22371061,Jito Staked SOL,JitoSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,1426,orca,16,Solana,2024-12-22T02:52:36.094Z,2024-12-17T16:20:01.000Z,0.026619943693303373,66511.67701608421,-0.0205094031,-0.1194533059,870069.808029746,2366215283.2733507
2H52KEsfwuWGN9CLZ3idS6vXCre511s7KBEfaYKLtQiY,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9882,meteora-vd,16,Solana,2024-12-22T02:44:22.000Z,2024-12-17T12:46:46.000Z,0.026688025842395314,61238.51751477249,-0.0386805684,-0.1212301796,9658.611682851202,2372267024.913209
9WP1YEt7dnf9S5itW2rzWEycjgiB8v5U9xXBrHtbiBLr,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,1426,orca,16,Solana,2024-12-22T02:50:27.095Z,2024-12-16T13:41:24.000Z,0.02665911826995091,58018.766689169985,-0.0128545641,-0.1146420595,128950.77309514952,2369697465.0182533
8gzfkRejVtUMTjGsuK5BmveCRKAvjgqwUQefLiBsouaz,PENGU/BOBAOPPA,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,25208266,Boba Oppa,BOBAOPPA,bobaM3u8QmqZhY1HwAtnvze9DLXvkgKYk3td3t8MLva,9883,meteora-vp,16,Solana,2024-12-22T02:52:39.056Z,2024-12-18T02:24:10.000Z,0.02666342146007138,45213.744397625866,-0.0362752987,-0.1230007655,71273.15105976093,2370079970.4941177
HPo9XXe1NEjMHrLFUfzQsEm83NkYyrfrgUhL76zPFy1u,PENGU/SOL,33461669,Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,22370960,Wrapped SOL,SOL,So11111111111111111111111111111111111111112,10557,raydium-clmm,16,Solana,2024-12-22T02:55:45.198Z,2024-12-17T12:46:40.000Z,0.026824345136803342,42931.40839603019,-0.0172418085,-0.1015103392,12143.00626217428,2384384285.6238112
